# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
41,Eliminated,20,20,8,1,6,20.0%,100,31.59,87.0%,39.0%,39.0%,41.0%,35.0%,34.0%,20.0%,-,-,-,-
42,Eliminated,10,10,8,2,10,19.0%,100,23.14,88.0%,39.0%,40.0%,36.0%,45.0%,35.0%,19.0%,-,-,-,-
43,Eliminated,15,5,8,1,6,33.0%,100,18.90,83.0%,46.0%,35.0%,35.6%,40.0%,33.0%,-,-,-,-,-
44,Eliminated,0,10,8,2,6,32.0%,100,17.41,86.0%,43.0%,42.0%,42.0%,43.0%,32.0%,-,-,-,-,-
45,Eliminated,0,20,8,1,6,32.0%,100,23.86,76.0%,36.0%,37.0%,38.0%,33.0%,32.0%,-,-,-,-,-
46,Eliminated,5,5,6,2,6,32.0%,100,13.65,81.0%,43.0%,38.0%,34.0%,34.0%,32.0%,-,-,-,-,-
47,Eliminated,5,5,8,1,4,32.0%,100,16.05,81.0%,40.0%,38.0%,42.0%,38.0%,32.0%,-,-,-,-,-
48,Eliminated,5,10,6,2,4,32.0%,100,16.26,68.0%,40.0%,37.0%,40.0%,40.0%,32.0%,-,-,-,-,-
49,Eliminated,5,20,10,3,10,32.0%,100,19.68,92.0%,38.0%,42.0%,37.0%,37.0%,32.0%,-,-,-,-,-
50,Eliminated,10,5,10,3,8,32.0%,100,14.26,90.0%,37.0%,39.0%,41.0%,34.0%,32.0%,-,-,-,-,-
51,Eliminated,10,15,6,2,10,32.0%,100,21.71,93.0%,40.0%,36.0%,35.0%,37.0%,32.0%,-,-,-,-,-
52,Eliminated,10,20,8,1,10,32.0%,100,26.32,88.0%,46.0%,41.0%,39.0%,36.0%,32.0%,-,-,-,-,-
53,Eliminated,15,5,8,2,8,32.0%,100,15.63,96.0%,34.0%,37.0%,37.0%,33.0%,32.0%,-,-,-,-,-
54,Eliminated,20,10,6,1,6,32.0%,100,24.20,83.0%,36.0%,36.0%,34.0%,46.5%,32.0%,-,-,-,-,-
55,Eliminated,10,5,6,3,6,31.0%,100,14.72,83.0%,34.0%,41.0%,36.0%,40.0%,31.0%,-,-,-,-,-
56,Eliminated,15,20,8,3,8,31.0%,100,22.73,87.0%,52.0%,36.0%,35.0%,36.0%,31.0%,-,-,-,-,-
57,Eliminated,0,10,6,2,6,30.7%,101,16.71,75.0%,44.0%,38.0%,39.0%,36.0%,30.7%,-,-,-,-,-
58,Eliminated,20,10,8,1,6,30.7%,101,25.54,91.0%,44.0%,40.0%,36.0%,36.0%,30.7%,-,-,-,-,-
59,Eliminated,20,10,8,3,8,30.7%,101,20.55,87.0%,40.0%,43.0%,35.0%,40.6%,30.7%,-,-,-,-,-
60,Eliminated,0,5,6,2,8,30.0%,100,12.32,85.0%,42.0%,34.0%,39.0%,36.0%,30.0%,-,-,-,-,-
61,Eliminated,0,10,10,3,6,30.0%,100,14.24,84.0%,47.0%,38.0%,35.0%,34.0%,30.0%,-,-,-,-,-
62,Eliminated,5,5,8,2,8,30.0%,100,15.56,89.0%,37.0%,35.0%,38.0%,37.0%,30.0%,-,-,-,-,-
63,Eliminated,5,10,6,1,6,30.0%,100,23.18,78.0%,44.0%,34.0%,39.0%,44.0%,30.0%,-,-,-,-,-
64,Eliminated,10,15,6,2,6,30.0%,100,19.74,77.0%,39.0%,34.0%,36.0%,38.0%,30.0%,-,-,-,-,-
65,Eliminated,15,15,4,1,4,30.0%,100,22.74,78.0%,40.0%,34.0%,35.0%,34.0%,30.0%,-,-,-,-,-
66,Eliminated,20,5,8,1,8,30.0%,100,20.96,85.0%,45.0%,37.0%,37.0%,36.0%,30.0%,-,-,-,-,-
67,Eliminated,20,15,6,1,6,30.0%,100,27.08,86.0%,49.0%,35.6%,47.5%,38.0%,30.0%,-,-,-,-,-
