# Tournament Config: startingPlayers=3, gamesPerPhase=100
# Fallbacks: {"2":{"file":"tournament_j3zvExqh9bhYFcfuzihx_older.csv","topX":5}}
Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
1,Active,0,5,6,2,6,0.0%,0,0.00,87.0%,47.0%,44.0%,38.0%,36.0%,37.0%,44.0%,45.0%,32.0%,40.2%,37.0%
2,Eliminated,0,0,6,3,6,26.0%,100,0.00,85.0%,45.0%,38.0%,40.0%,37.0%,48.5%,37.0%,45.0%,41.0%,37.0%,26.0%
3,Eliminated,0,0,6,1,4,33.0%,103,0.00,80.0%,42.0%,43.0%,35.0%,43.0%,42.0%,38.0%,37.9%,34.3%,33.0%,-
4,Eliminated,5,5,6,1,4,32.7%,101,0.00,88.0%,40.0%,36.0%,40.0%,42.0%,34.0%,39.0%,33.7%,40.8%,32.7%,-
5,Eliminated,0,0,4,1,6,23.8%,101,0.00,85.0%,36.0%,40.0%,42.0%,36.0%,36.0%,35.6%,34.7%,34.0%,23.8%,-
6,Eliminated,0,5,6,3,4,31.0%,100,0.00,74.0%,41.0%,45.0%,38.0%,40.0%,34.0%,36.0%,36.3%,31.0%,-,-
7,Eliminated,0,0,8,1,4,30.8%,104,0.00,83.0%,43.0%,45.0%,46.0%,51.0%,44.0%,38.0%,38.0%,30.8%,-,-
8,Eliminated,0,10,8,2,4,30.4%,102,0.00,77.0%,46.0%,41.0%,42.0%,34.0%,43.0%,37.0%,33.0%,30.4%,-,-
9,Eliminated,0,0,8,2,8,30.0%,100,0.00,91.0%,37.6%,40.0%,48.0%,34.0%,42.0%,41.6%,35.0%,30.0%,-,-
10,Eliminated,0,5,8,1,6,29.0%,100,0.00,92.0%,39.0%,40.0%,41.0%,45.0%,36.0%,37.0%,33.0%,29.0%,-,-
11,Eliminated,10,10,6,1,4,32.0%,103,0.00,71.0%,39.0%,45.0%,34.0%,41.0%,34.7%,36.0%,32.0%,-,-,-
12,Eliminated,0,0,4,1,4,32.0%,100,0.00,78.0%,39.0%,43.0%,39.0%,41.0%,36.0%,42.6%,32.0%,-,-,-
13,Eliminated,0,5,4,2,4,32.0%,100,0.00,75.0%,40.0%,37.0%,35.0%,39.0%,38.0%,38.0%,32.0%,-,-,-
14,Eliminated,5,5,6,1,6,32.0%,100,0.00,85.0%,45.0%,45.0%,39.0%,42.0%,45.0%,35.0%,32.0%,-,-,-
15,Eliminated,0,5,8,3,10,31.0%,100,0.00,87.0%,36.0%,45.0%,44.0%,37.0%,33.3%,35.0%,31.0%,-,-,-
16,Eliminated,0,0,6,1,6,30.7%,101,0.00,87.0%,42.0%,40.0%,46.0%,34.0%,41.0%,44.0%,30.7%,-,-,-
17,Eliminated,0,10,6,2,6,30.0%,100,0.00,82.0%,49.0%,35.0%,44.0%,36.0%,36.6%,40.0%,30.0%,-,-,-
18,Eliminated,0,10,8,3,8,30.0%,100,0.00,79.0%,45.0%,34.0%,45.0%,43.0%,39.0%,36.0%,30.0%,-,-,-
19,Eliminated,0,15,8,2,4,28.0%,100,0.00,72.0%,39.0%,47.0%,35.0%,34.0%,37.0%,38.0%,28.0%,-,-,-
20,Eliminated,0,5,8,1,4,26.0%,100,0.00,85.0%,34.0%,46.0%,45.0%,43.0%,34.0%,36.0%,26.0%,-,-,-
21,Eliminated,0,5,4,1,4,24.8%,101,0.00,76.0%,39.0%,35.0%,38.0%,41.0%,35.0%,34.7%,24.8%,-,-,-
22,Eliminated,5,5,8,2,8,34.7%,101,0.00,90.0%,44.0%,44.0%,36.0%,40.0%,40.0%,34.7%,-,-,-,-
23,Eliminated,0,5,6,1,4,34.0%,100,0.00,82.0%,45.0%,43.0%,39.0%,40.0%,41.0%,34.0%,-,-,-,-
24,Eliminated,10,5,6,1,6,33.0%,100,0.00,85.0%,44.0%,40.0%,42.0%,36.0%,39.0%,33.0%,-,-,-,-
25,Eliminated,0,0,8,2,6,32.7%,101,0.00,86.0%,38.0%,40.0%,44.0%,42.0%,38.0%,32.7%,-,-,-,-
26,Eliminated,0,10,8,2,8,32.7%,101,0.00,81.0%,47.0%,35.0%,35.6%,38.0%,36.0%,32.7%,-,-,-,-
27,Eliminated,5,5,8,2,10,32.7%,101,0.00,90.0%,37.0%,39.0%,36.0%,39.0%,35.0%,32.7%,-,-,-,-
28,Eliminated,0,0,6,3,8,31.0%,100,0.00,84.0%,33.0%,33.0%,36.0%,37.0%,36.6%,31.0%,-,-,-,-
29,Eliminated,5,10,8,3,8,31.0%,100,0.00,88.0%,43.0%,41.0%,41.0%,49.0%,36.0%,31.0%,-,-,-,-
30,Eliminated,10,10,8,2,6,30.0%,100,0.00,78.0%,35.0%,35.0%,36.0%,38.6%,37.0%,30.0%,-,-,-,-
31,Eliminated,5,10,8,3,6,29.7%,101,0.00,77.0%,39.0%,38.0%,41.0%,35.0%,41.0%,29.7%,-,-,-,-
32,Eliminated,0,15,10,3,8,29.0%,100,0.00,82.0%,46.0%,36.0%,39.0%,34.0%,38.0%,29.0%,-,-,-,-
33,Eliminated,15,15,6,1,6,27.7%,101,0.00,77.0%,44.6%,36.0%,39.0%,36.0%,34.0%,27.7%,-,-,-,-
34,Eliminated,20,5,8,1,8,27.7%,101,0.00,88.0%,44.0%,39.0%,35.0%,36.0%,38.0%,27.7%,-,-,-,-
35,Eliminated,0,5,10,3,8,27.0%,100,0.00,86.0%,39.0%,36.6%,37.0%,43.0%,43.0%,27.0%,-,-,-,-
36,Eliminated,0,10,6,1,4,27.0%,100,0.00,71.0%,34.0%,46.0%,39.0%,36.0%,35.0%,27.0%,-,-,-,-
37,Eliminated,20,10,8,3,10,27.0%,100,0.00,92.0%,37.0%,35.0%,33.7%,36.0%,34.0%,27.0%,-,-,-,-
38,Eliminated,0,5,6,1,2,24.8%,101,0.00,67.0%,35.0%,36.0%,38.0%,37.0%,39.0%,24.8%,-,-,-,-
39,Eliminated,10,10,8,3,6,23.8%,101,0.00,83.0%,37.0%,35.0%,41.0%,36.6%,37.6%,23.8%,-,-,-,-
40,Eliminated,0,15,8,2,8,23.0%,100,0.00,86.0%,41.0%,35.0%,45.0%,34.0%,33.7%,23.0%,-,-,-,-
41,Eliminated,0,0,6,3,10,22.8%,101,0.00,85.0%,48.0%,41.0%,33.0%,39.0%,35.0%,22.8%,-,-,-,-
42,Eliminated,5,20,10,3,8,20.8%,101,0.00,83.0%,48.0%,36.0%,37.0%,39.0%,37.0%,20.8%,-,-,-,-
43,Eliminated,0,0,6,1,8,33.0%,100,0.00,86.0%,40.0%,42.0%,40.0%,39.0%,33.0%,-,-,-,-,-
44,Eliminated,0,5,8,3,6,33.0%,100,0.00,81.0%,39.0%,35.0%,38.0%,40.0%,33.0%,-,-,-,-,-
45,Eliminated,5,10,8,2,6,33.0%,100,0.00,80.0%,41.0%,36.6%,40.0%,37.0%,33.0%,-,-,-,-,-
46,Eliminated,5,10,8,3,10,33.0%,100,0.00,83.0%,36.0%,34.0%,36.0%,36.0%,33.0%,-,-,-,-,-
47,Eliminated,0,5,6,1,6,32.0%,100,0.00,83.0%,43.0%,42.0%,33.0%,33.0%,32.0%,-,-,-,-,-
48,Eliminated,0,5,6,2,10,32.0%,100,0.00,88.0%,44.0%,39.0%,35.0%,37.0%,32.0%,-,-,-,-,-
49,Eliminated,0,5,8,2,6,32.0%,100,0.00,84.0%,36.0%,53.0%,41.0%,49.0%,32.0%,-,-,-,-,-
50,Eliminated,10,10,6,1,6,32.0%,100,0.00,81.0%,42.0%,42.0%,39.0%,35.0%,32.0%,-,-,-,-,-
51,Eliminated,20,10,8,1,10,32.0%,100,0.00,91.0%,50.0%,36.0%,39.0%,42.0%,32.0%,-,-,-,-,-
52,Eliminated,5,5,10,3,10,31.7%,101,0.00,89.0%,34.0%,35.0%,36.0%,43.0%,31.7%,-,-,-,-,-
53,Eliminated,0,0,6,2,10,31.0%,100,0.00,89.0%,40.0%,41.0%,33.0%,39.0%,31.0%,-,-,-,-,-
54,Eliminated,0,5,6,3,6,31.0%,100,0.00,85.0%,49.0%,43.0%,44.0%,35.0%,31.0%,-,-,-,-,-
55,Eliminated,15,10,6,1,10,31.0%,100,0.00,79.0%,43.0%,48.0%,34.0%,33.7%,31.0%,-,-,-,-,-
56,Eliminated,0,10,6,2,10,30.0%,100,0.00,81.0%,40.0%,34.0%,52.0%,42.0%,30.0%,-,-,-,-,-
57,Eliminated,5,5,6,1,8,30.0%,100,0.00,87.0%,44.0%,42.0%,34.0%,38.0%,30.0%,-,-,-,-,-
58,Eliminated,5,5,6,1,10,30.0%,100,0.00,89.0%,51.0%,38.0%,39.0%,39.0%,30.0%,-,-,-,-,-
59,Eliminated,5,5,8,1,4,30.0%,100,0.00,72.0%,45.0%,41.0%,37.0%,34.7%,30.0%,-,-,-,-,-
60,Eliminated,5,15,8,3,8,30.0%,100,0.00,88.0%,50.0%,41.0%,38.0%,39.0%,30.0%,-,-,-,-,-
61,Eliminated,10,15,8,1,6,30.0%,100,0.00,85.0%,35.0%,43.0%,34.0%,35.0%,30.0%,-,-,-,-,-
62,Eliminated,10,15,8,3,10,30.0%,100,0.00,91.0%,41.0%,37.0%,35.0%,36.0%,30.0%,-,-,-,-,-
63,Eliminated,10,5,6,1,4,29.7%,101,0.00,78.0%,39.0%,42.0%,35.0%,35.0%,29.7%,-,-,-,-,-
64,Eliminated,15,5,10,1,4,29.7%,101,0.00,79.0%,36.0%,37.0%,34.0%,38.0%,29.7%,-,-,-,-,-
65,Eliminated,15,15,8,1,6,29.0%,100,0.00,74.0%,48.0%,39.0%,37.0%,35.0%,29.0%,-,-,-,-,-
66,Eliminated,5,5,6,2,6,28.7%,101,0.00,83.0%,34.0%,43.0%,42.0%,40.0%,28.7%,-,-,-,-,-
67,Eliminated,5,15,8,2,6,28.7%,101,0.00,86.0%,45.0%,34.0%,40.0%,36.0%,28.7%,-,-,-,-,-
68,Eliminated,0,15,8,2,6,28.0%,100,0.00,86.0%,42.0%,39.0%,35.0%,36.0%,28.0%,-,-,-,-,-
69,Eliminated,15,10,8,2,10,28.0%,100,0.00,90.0%,43.0%,37.0%,36.0%,38.0%,28.0%,-,-,-,-,-
70,Eliminated,15,15,8,2,8,28.0%,100,0.00,85.0%,41.0%,35.0%,37.0%,37.0%,28.0%,-,-,-,-,-
71,Eliminated,15,20,8,3,10,28.0%,100,0.00,84.0%,46.0%,37.0%,41.0%,34.0%,28.0%,-,-,-,-,-
72,Eliminated,5,10,8,1,6,27.0%,100,0.00,80.0%,42.0%,38.0%,36.0%,38.0%,27.0%,-,-,-,-,-
73,Eliminated,10,5,6,2,8,27.0%,100,0.00,87.0%,35.0%,34.0%,34.0%,37.0%,27.0%,-,-,-,-,-
74,Eliminated,15,20,8,1,6,27.0%,100,0.00,81.0%,54.0%,46.0%,35.0%,41.0%,27.0%,-,-,-,-,-
75,Eliminated,0,5,6,1,8,26.0%,100,0.00,85.0%,34.0%,42.0%,39.0%,46.0%,26.0%,-,-,-,-,-
76,Eliminated,10,10,6,3,10,26.0%,100,0.00,79.0%,35.6%,36.0%,37.6%,39.0%,26.0%,-,-,-,-,-
77,Eliminated,10,10,8,1,6,26.0%,100,0.00,80.0%,43.0%,34.0%,41.0%,37.0%,26.0%,-,-,-,-,-
78,Eliminated,10,15,6,1,6,25.7%,101,0.00,80.0%,39.0%,39.0%,35.0%,39.0%,25.7%,-,-,-,-,-
79,Eliminated,10,15,8,1,4,25.0%,100,0.00,80.0%,37.0%,39.0%,38.0%,42.0%,25.0%,-,-,-,-,-
80,Eliminated,10,5,8,1,6,24.0%,100,0.00,86.0%,44.0%,37.0%,41.0%,35.0%,24.0%,-,-,-,-,-
81,Eliminated,0,10,8,1,4,23.0%,100,0.00,79.0%,40.0%,44.0%,41.6%,37.0%,23.0%,-,-,-,-,-
82,Eliminated,5,5,10,2,8,23.0%,100,0.00,85.0%,40.0%,36.0%,41.0%,34.0%,23.0%,-,-,-,-,-
83,Eliminated,10,10,8,3,10,22.8%,101,0.00,91.0%,41.0%,49.0%,41.0%,37.6%,22.8%,-,-,-,-,-
84,Eliminated,0,5,4,1,8,22.0%,100,0.00,76.0%,35.0%,35.0%,34.0%,37.0%,22.0%,-,-,-,-,-
85,Eliminated,0,5,8,2,4,33.0%,100,0.00,70.0%,36.0%,46.0%,38.0%,33.0%,-,-,-,-,-,-
86,Eliminated,0,15,6,3,10,33.0%,100,0.00,86.0%,38.0%,36.0%,37.0%,33.0%,-,-,-,-,-,-
87,Eliminated,0,20,6,3,10,33.0%,100,0.00,82.0%,41.0%,38.0%,33.0%,33.0%,-,-,-,-,-,-
88,Eliminated,0,20,8,2,6,33.0%,100,0.00,72.0%,41.0%,41.0%,34.0%,33.0%,-,-,-,-,-,-
89,Eliminated,5,0,8,2,8,33.0%,100,0.00,94.0%,40.0%,34.0%,34.0%,33.0%,-,-,-,-,-,-
90,Eliminated,5,5,8,1,10,33.0%,100,0.00,91.0%,45.0%,35.0%,43.0%,33.0%,-,-,-,-,-,-
91,Eliminated,5,5,8,3,8,33.0%,100,0.00,89.0%,48.0%,39.0%,45.0%,33.0%,-,-,-,-,-,-
92,Eliminated,10,20,8,1,6,33.0%,100,0.00,89.0%,45.0%,35.0%,37.0%,33.0%,-,-,-,-,-,-
93,Eliminated,15,10,8,1,8,33.0%,100,0.00,86.0%,54.0%,40.0%,39.0%,33.0%,-,-,-,-,-,-
94,Eliminated,20,5,6,1,6,33.0%,100,0.00,91.0%,38.0%,44.0%,39.0%,33.0%,-,-,-,-,-,-
95,Eliminated,20,10,6,1,6,33.0%,100,0.00,80.0%,45.0%,37.0%,39.0%,33.0%,-,-,-,-,-,-
96,Eliminated,20,10,8,3,8,33.0%,100,0.00,86.0%,38.0%,39.0%,34.0%,33.0%,-,-,-,-,-,-
97,Eliminated,5,5,6,2,8,32.0%,100,0.00,85.0%,43.0%,43.0%,44.0%,32.0%,-,-,-,-,-,-
98,Eliminated,10,10,10,3,8,32.0%,100,0.00,88.0%,41.0%,39.0%,43.0%,32.0%,-,-,-,-,-,-
99,Eliminated,10,20,10,3,10,32.0%,100,0.00,82.0%,47.0%,38.0%,34.0%,32.0%,-,-,-,-,-,-
100,Eliminated,20,5,10,2,10,32.0%,100,0.00,92.0%,37.0%,38.0%,37.0%,32.0%,-,-,-,-,-,-
101,Eliminated,20,10,8,2,10,32.0%,100,0.00,89.0%,39.0%,42.0%,40.0%,32.0%,-,-,-,-,-,-
102,Eliminated,20,15,6,1,10,32.0%,100,0.00,92.0%,46.0%,35.0%,34.0%,32.0%,-,-,-,-,-,-
103,Eliminated,0,5,6,2,4,31.0%,100,0.00,78.0%,44.0%,35.0%,40.0%,31.0%,-,-,-,-,-,-
104,Eliminated,0,5,8,1,10,31.0%,100,0.00,84.0%,39.0%,37.0%,34.0%,31.0%,-,-,-,-,-,-
105,Eliminated,0,10,8,1,2,31.0%,100,0.00,72.0%,35.0%,37.0%,44.0%,31.0%,-,-,-,-,-,-
106,Eliminated,5,0,6,1,6,31.0%,100,0.00,91.0%,37.0%,38.0%,39.0%,31.0%,-,-,-,-,-,-
107,Eliminated,5,10,8,2,10,31.0%,100,0.00,86.0%,34.0%,39.0%,34.0%,31.0%,-,-,-,-,-,-
108,Eliminated,5,15,6,2,8,31.0%,100,0.00,86.0%,36.0%,40.0%,35.0%,31.0%,-,-,-,-,-,-
109,Eliminated,5,20,8,3,10,31.0%,100,0.00,86.0%,44.0%,38.0%,38.0%,31.0%,-,-,-,-,-,-
110,Eliminated,10,5,8,2,8,31.0%,100,0.00,88.0%,49.0%,37.0%,37.0%,31.0%,-,-,-,-,-,-
111,Eliminated,10,10,8,1,4,31.0%,100,0.00,78.0%,38.0%,36.0%,35.0%,31.0%,-,-,-,-,-,-
112,Eliminated,10,10,8,2,10,31.0%,100,0.00,91.0%,47.0%,43.0%,39.0%,31.0%,-,-,-,-,-,-
113,Eliminated,20,5,8,1,6,31.0%,100,0.00,87.0%,45.0%,37.0%,36.0%,31.0%,-,-,-,-,-,-
114,Eliminated,20,10,10,3,8,31.0%,100,0.00,86.0%,41.0%,35.0%,36.0%,31.0%,-,-,-,-,-,-
115,Eliminated,20,15,10,1,4,31.0%,100,0.00,76.0%,44.0%,37.0%,35.0%,31.0%,-,-,-,-,-,-
116,Eliminated,10,15,6,1,4,30.7%,101,0.00,77.0%,45.0%,34.0%,36.0%,30.7%,-,-,-,-,-,-
117,Eliminated,15,5,8,2,8,30.7%,101,0.00,86.0%,46.0%,45.0%,36.0%,30.7%,-,-,-,-,-,-
118,Eliminated,0,0,6,1,10,30.0%,100,0.00,94.0%,49.0%,43.0%,46.0%,30.0%,-,-,-,-,-,-
119,Eliminated,5,5,4,1,8,30.0%,100,0.00,82.0%,34.0%,36.0%,34.0%,30.0%,-,-,-,-,-,-
120,Eliminated,5,15,8,2,8,30.0%,100,0.00,86.0%,45.0%,36.0%,42.0%,30.0%,-,-,-,-,-,-
121,Eliminated,10,20,10,2,10,30.0%,100,0.00,94.0%,42.0%,38.0%,34.0%,30.0%,-,-,-,-,-,-
122,Eliminated,15,5,6,1,6,30.0%,100,0.00,90.0%,41.0%,34.0%,36.0%,30.0%,-,-,-,-,-,-
123,Eliminated,15,10,8,1,4,30.0%,100,0.00,74.0%,40.0%,42.0%,41.0%,30.0%,-,-,-,-,-,-
124,Eliminated,15,10,8,2,8,30.0%,100,0.00,88.0%,44.0%,40.0%,41.0%,30.0%,-,-,-,-,-,-
125,Eliminated,15,15,8,1,8,29.7%,101,0.00,78.0%,37.0%,40.0%,36.0%,29.7%,-,-,-,-,-,-
126,Eliminated,0,5,10,3,6,29.0%,100,0.00,81.0%,37.0%,39.0%,34.0%,29.0%,-,-,-,-,-,-
127,Eliminated,0,15,8,3,8,29.0%,100,0.00,84.0%,34.0%,44.0%,45.0%,29.0%,-,-,-,-,-,-
128,Eliminated,5,5,8,2,6,29.0%,100,0.00,86.0%,42.0%,39.0%,40.0%,29.0%,-,-,-,-,-,-
129,Eliminated,5,15,8,3,10,29.0%,100,0.00,92.0%,45.0%,36.0%,36.0%,29.0%,-,-,-,-,-,-
130,Eliminated,15,5,8,1,10,29.0%,100,0.00,87.0%,51.0%,40.0%,36.0%,29.0%,-,-,-,-,-,-
131,Eliminated,20,5,6,1,8,29.0%,100,0.00,87.0%,46.0%,37.0%,34.0%,29.0%,-,-,-,-,-,-
132,Eliminated,0,20,8,3,8,28.7%,101,0.00,91.0%,40.0%,35.0%,37.0%,28.7%,-,-,-,-,-,-
133,Eliminated,20,5,10,1,4,28.0%,100,0.00,76.0%,37.0%,39.0%,34.0%,28.0%,-,-,-,-,-,-
134,Eliminated,20,10,8,1,6,28.0%,100,0.00,83.0%,41.0%,45.0%,34.0%,28.0%,-,-,-,-,-,-
135,Eliminated,10,20,6,1,6,27.7%,101,0.00,84.0%,40.0%,37.0%,39.0%,27.7%,-,-,-,-,-,-
136,Eliminated,0,10,8,3,10,27.0%,100,0.00,90.0%,51.0%,34.0%,38.0%,27.0%,-,-,-,-,-,-
137,Eliminated,5,10,6,2,8,27.0%,100,0.00,83.0%,36.0%,34.0%,35.0%,27.0%,-,-,-,-,-,-
138,Eliminated,10,15,4,1,8,27.0%,100,0.00,79.0%,37.0%,35.0%,35.0%,27.0%,-,-,-,-,-,-
139,Eliminated,10,20,10,1,6,27.0%,100,0.00,83.0%,49.0%,37.0%,34.0%,27.0%,-,-,-,-,-,-
140,Eliminated,15,5,8,3,8,27.0%,100,0.00,89.0%,36.0%,42.0%,41.0%,27.0%,-,-,-,-,-,-
141,Eliminated,15,15,8,3,8,27.0%,100,0.00,90.0%,38.0%,38.0%,36.0%,27.0%,-,-,-,-,-,-
142,Eliminated,20,20,6,1,8,27.0%,100,0.00,85.0%,45.0%,39.0%,37.0%,27.0%,-,-,-,-,-,-
143,Eliminated,10,10,8,3,8,26.7%,101,0.00,86.0%,45.0%,38.0%,34.0%,26.7%,-,-,-,-,-,-
144,Eliminated,15,20,10,1,4,26.7%,101,0.00,79.0%,43.0%,35.0%,35.0%,26.7%,-,-,-,-,-,-
145,Eliminated,10,10,6,2,8,26.0%,100,0.00,88.0%,35.0%,38.0%,36.0%,26.0%,-,-,-,-,-,-
146,Eliminated,10,15,4,1,4,26.0%,100,0.00,73.0%,34.0%,38.0%,36.0%,26.0%,-,-,-,-,-,-
147,Eliminated,10,15,10,1,8,26.0%,100,0.00,78.0%,48.0%,44.0%,35.0%,26.0%,-,-,-,-,-,-
148,Eliminated,0,15,6,2,8,25.0%,100,0.00,85.0%,45.0%,37.0%,35.0%,25.0%,-,-,-,-,-,-
149,Eliminated,5,0,8,1,10,25.0%,100,0.00,86.0%,41.0%,38.0%,34.0%,25.0%,-,-,-,-,-,-
150,Eliminated,10,10,6,1,8,25.0%,100,0.00,81.0%,55.0%,40.6%,34.0%,25.0%,-,-,-,-,-,-
151,Eliminated,0,20,6,1,4,24.8%,101,0.00,70.0%,39.0%,34.0%,34.0%,24.8%,-,-,-,-,-,-
152,Eliminated,0,0,10,1,6,24.0%,100,0.00,77.0%,33.0%,35.0%,36.0%,24.0%,-,-,-,-,-,-
153,Eliminated,5,5,10,3,6,24.0%,100,0.00,82.0%,41.0%,41.0%,41.0%,24.0%,-,-,-,-,-,-
154,Eliminated,5,10,10,3,6,24.0%,100,0.00,85.0%,36.0%,37.0%,36.0%,24.0%,-,-,-,-,-,-
155,Eliminated,15,5,6,1,10,24.0%,100,0.00,88.0%,49.0%,42.0%,38.0%,24.0%,-,-,-,-,-,-
156,Eliminated,15,5,10,1,6,24.0%,100,0.00,76.0%,48.0%,37.0%,35.0%,24.0%,-,-,-,-,-,-
157,Eliminated,5,15,8,1,6,23.0%,100,0.00,78.0%,40.0%,44.0%,37.0%,23.0%,-,-,-,-,-,-
158,Eliminated,10,10,6,2,10,23.0%,100,0.00,85.0%,41.0%,36.0%,34.0%,23.0%,-,-,-,-,-,-
159,Eliminated,15,10,8,1,6,23.0%,100,0.00,91.0%,44.0%,47.0%,34.0%,23.0%,-,-,-,-,-,-
160,Eliminated,15,15,10,2,10,23.0%,100,0.00,87.0%,37.0%,37.0%,35.0%,23.0%,-,-,-,-,-,-
161,Eliminated,5,15,4,1,10,22.0%,100,0.00,71.0%,36.0%,35.0%,33.0%,22.0%,-,-,-,-,-,-
162,Eliminated,10,15,8,3,8,22.0%,100,0.00,93.0%,41.0%,39.0%,36.0%,22.0%,-,-,-,-,-,-
163,Eliminated,20,20,8,3,8,22.0%,100,0.00,89.0%,39.0%,45.0%,37.6%,22.0%,-,-,-,-,-,-
164,Eliminated,5,0,8,3,10,21.0%,100,0.00,94.0%,44.0%,35.0%,36.0%,21.0%,-,-,-,-,-,-
165,Eliminated,20,10,6,1,4,21.0%,100,0.00,79.0%,43.0%,38.0%,37.0%,21.0%,-,-,-,-,-,-
166,Eliminated,15,10,10,1,6,20.8%,101,0.00,78.0%,47.0%,34.0%,35.0%,20.8%,-,-,-,-,-,-
167,Eliminated,10,20,6,1,8,19.8%,101,0.00,81.0%,46.0%,37.0%,39.0%,19.8%,-,-,-,-,-,-
168,Eliminated,15,20,8,2,10,19.0%,100,0.00,88.0%,37.0%,35.0%,35.0%,19.0%,-,-,-,-,-,-
169,Eliminated,5,15,6,1,6,33.0%,100,0.00,88.0%,36.0%,36.0%,33.0%,-,-,-,-,-,-,-
170,Eliminated,5,15,6,3,8,33.0%,100,0.00,88.0%,39.0%,36.0%,33.0%,-,-,-,-,-,-,-
171,Eliminated,5,15,8,3,6,33.0%,100,0.00,79.0%,35.0%,37.0%,33.0%,-,-,-,-,-,-,-
172,Eliminated,5,20,6,2,8,33.0%,100,0.00,79.0%,39.0%,37.0%,33.0%,-,-,-,-,-,-,-
173,Eliminated,5,20,10,2,6,33.0%,100,0.00,86.0%,41.0%,35.0%,33.0%,-,-,-,-,-,-,-
174,Eliminated,10,5,8,1,8,33.0%,100,0.00,89.0%,46.0%,35.0%,33.0%,-,-,-,-,-,-,-
175,Eliminated,10,5,8,2,10,33.0%,100,0.00,88.0%,46.0%,35.0%,33.0%,-,-,-,-,-,-,-
176,Eliminated,10,10,4,1,8,33.0%,100,0.00,70.0%,47.0%,34.0%,33.0%,-,-,-,-,-,-,-
177,Eliminated,10,10,8,1,8,33.0%,100,0.00,90.0%,45.0%,40.0%,33.0%,-,-,-,-,-,-,-
178,Eliminated,10,10,8,1,10,33.0%,100,0.00,92.0%,46.0%,39.0%,33.0%,-,-,-,-,-,-,-
179,Eliminated,10,10,10,1,4,33.0%,100,0.00,76.0%,36.0%,38.0%,33.0%,-,-,-,-,-,-,-
180,Eliminated,10,10,10,2,8,33.0%,100,0.00,86.0%,46.0%,37.0%,33.0%,-,-,-,-,-,-,-
181,Eliminated,10,20,6,1,10,33.0%,100,0.00,85.0%,45.0%,35.0%,33.0%,-,-,-,-,-,-,-
182,Eliminated,10,20,8,3,10,33.0%,100,0.00,82.0%,57.0%,38.0%,33.0%,-,-,-,-,-,-,-
183,Eliminated,15,5,6,3,10,33.0%,100,0.00,87.0%,38.0%,36.0%,33.0%,-,-,-,-,-,-,-
184,Eliminated,15,5,8,1,6,33.0%,100,0.00,84.0%,46.0%,36.0%,33.0%,-,-,-,-,-,-,-
185,Eliminated,20,5,8,2,10,33.0%,100,0.00,89.0%,35.0%,41.0%,33.0%,-,-,-,-,-,-,-
186,Eliminated,20,5,10,2,8,33.0%,100,0.00,84.0%,43.0%,35.0%,33.0%,-,-,-,-,-,-,-
187,Eliminated,20,15,6,1,4,33.0%,100,0.00,73.0%,37.0%,35.0%,33.0%,-,-,-,-,-,-,-
188,Eliminated,20,20,8,1,10,33.0%,100,0.00,90.0%,36.0%,35.0%,33.0%,-,-,-,-,-,-,-
189,Eliminated,15,20,8,2,8,32.7%,101,0.00,88.0%,35.0%,35.0%,32.7%,-,-,-,-,-,-,-
190,Eliminated,0,0,6,2,4,32.0%,100,0.00,75.0%,34.0%,40.0%,32.0%,-,-,-,-,-,-,-
191,Eliminated,0,5,6,3,8,32.0%,100,0.00,84.0%,40.0%,44.0%,32.0%,-,-,-,-,-,-,-
192,Eliminated,0,10,6,3,10,32.0%,100,0.00,85.0%,47.0%,35.0%,32.0%,-,-,-,-,-,-,-
193,Eliminated,0,10,10,3,6,32.0%,100,0.00,79.0%,52.0%,39.0%,32.0%,-,-,-,-,-,-,-
194,Eliminated,0,15,4,2,6,32.0%,100,0.00,69.0%,33.0%,34.0%,32.0%,-,-,-,-,-,-,-
195,Eliminated,0,15,10,3,6,32.0%,100,0.00,81.0%,44.0%,39.0%,32.0%,-,-,-,-,-,-,-
196,Eliminated,0,20,6,1,8,32.0%,100,0.00,83.0%,35.0%,35.0%,32.0%,-,-,-,-,-,-,-
197,Eliminated,0,20,6,3,6,32.0%,100,0.00,71.0%,41.0%,34.0%,32.0%,-,-,-,-,-,-,-
198,Eliminated,5,5,4,1,6,32.0%,100,0.00,79.0%,39.0%,36.0%,32.0%,-,-,-,-,-,-,-
199,Eliminated,5,10,6,1,8,32.0%,100,0.00,90.0%,44.0%,38.0%,32.0%,-,-,-,-,-,-,-
200,Eliminated,5,15,6,1,10,32.0%,100,0.00,85.0%,39.0%,36.6%,32.0%,-,-,-,-,-,-,-
201,Eliminated,5,20,8,2,8,32.0%,100,0.00,88.0%,46.0%,35.0%,32.0%,-,-,-,-,-,-,-
202,Eliminated,5,20,10,3,6,32.0%,100,0.00,79.0%,42.0%,38.0%,32.0%,-,-,-,-,-,-,-
203,Eliminated,10,5,8,1,4,32.0%,100,0.00,74.0%,38.0%,41.0%,32.0%,-,-,-,-,-,-,-
